sample_id,success,v12,v21,obj_value,n_iters,converged,elapsed_time,volfrac,penal,rmin,move,void_size_frac,error
0,True,0.12360472544560203,0.12381246817366774,4.306090070901731,138,True,424.95,0.551130,3.173667,2.114242,0.067211,0.405435,
1,True,0.1330751425540718,0.13299274713925355,4.115411191462282,77,True,242.72,0.630122,2.494332,1.306418,0.193488,0.517298,
2,True,0.1035407976322237,0.10350202440487237,4.426200953196766,151,True,471.90,0.528146,4.584394,1.220684,0.094709,0.265340,
3,True,0.10620368238054219,0.1062036814502463,4.3951932638517945,64,True,201.24,0.473864,3.466725,2.468085,0.078689,0.480210,
4,True,0.1535913232272323,0.15359132322787605,4.175882956515093,34,True,111.22,0.666210,3.898728,1.390879,0.166428,0.509330,
5,True,0.15568397968223152,0.15619769814951978,4.268977057066748,200,True,627.08,0.694027,4.251997,2.288686,0.149383,0.335902,
6,True,0.12188234451209283,0.12151168501454099,4.187083120356154,200,True,624.72,0.571276,2.541949,1.290225,0.128518,0.421183,
7,True,0.13786442900435256,0.13786932521432596,4.191425856450396,200,True,575.33,0.614053,2.412205,2.155729,0.053092,0.467981,
8,True,0.0967900661878463,0.09680422239127488,4.3500743880094035,141,True,454.58,0.512814,3.690039,1.338992,0.172751,0.317006,
9,True,0.11788528781680645,0.11786579984610282,4.261387162923859,134,True,418.38,0.545976,3.776751,1.981350,0.215270,0.507161,
10,True,0.0976099538136377,0.09760994743235192,4.4158825311535015,89,True,280.45,0.459000,4.519558,1.366392,0.107341,0.287769,
11,True,0.12187215319591986,0.12193423366659978,4.207118603640799,200,True,658.41,0.596096,3.652465,1.432938,0.229441,0.429313,
12,True,0.1960082572991346,0.19612372975250178,4.48609114111707,200,True,624.37,0.576658,2.031734,1.883043,0.154940,0.366192,
13,True,0.11499762765925503,0.11499507437184014,4.353314513950481,42,True,129.28,0.532232,2.746448,2.370881,0.093877,0.409380,
14,True,0.125592107627217,0.12588821573534667,4.264367614664932,200,True,627.60,0.503927,2.095488,2.324398,0.057064,0.285650,
15,True,0.11758779106052594,0.11758779101637827,4.252099544042764,44,True,135.43,0.593593,4.742384,1.460143,0.219772,0.431297,
16,True,0.09803841209856962,0.09803841209676077,4.424023305769479,79,True,245.48,0.486678,4.195617,1.695579,0.133332,0.477864,
17,True,0.16450379160818895,0.1645037916083197,4.227055791757236,22,True,67.57,0.699550,4.896658,1.916144,0.125355,0.540994,
18,True,0.13054288163315922,0.13054288140469256,4.290562122345545,51,True,160.48,0.639238,4.778221,2.186615,0.196476,0.416191,
19,True,0.13738858592020078,0.13703901643022662,4.087793473987194,200,True,628.36,0.646849,2.458291,1.117371,0.153528,0.436229,
20,True,0.1266303436543056,0.12690226968482443,4.200700658564865,90,True,263.59,0.560457,2.678018,1.502024,0.230123,0.383327,
21,True,0.14314602676411325,0.14218427542123063,4.1348662620365815,200,True,630.24,0.671416,4.853038,1.021833,0.209614,0.484584,
22,True,0.12251448869364476,0.1223449441579683,4.364139043339396,200,True,653.77,0.582721,3.847858,2.220821,0.099683,0.398939,
23,True,0.1274753618983328,0.12747536189818842,4.2960758127324645,37,True,119.84,0.605717,4.654489,1.578416,0.248272,0.360236,
24,True,0.11903344899733354,0.11917078700677307,4.358833899298103,200,True,640.00,0.542080,3.341009,1.537467,0.144337,0.345750,
25,True,0.14059329639009205,0.14059329639019716,4.200480618554491,38,True,119.36,0.652530,4.980208,1.775664,0.061586,0.498474,
26,True,0.1408909630584191,0.14069043440379575,4.289502536077978,200,True,623.08,0.629147,3.384493,1.672568,0.072613,0.324455,
27,True,0.11347648416928098,0.11347648412748088,4.278168562973095,53,True,169.15,0.469886,3.082486,2.035531,0.234869,0.465504,
28,True,0.10406645955232821,0.10409218387627402,4.401282465113447,200,True,618.91,0.507567,4.070558,2.081865,0.063713,0.301159,
29,True,0.10540600975516631,0.10542641055804201,4.416464444111796,126,True,372.30,0.498665,4.320106,2.394380,0.116244,0.309870,
30,True,0.11689597143188209,0.1168900335803921,4.281171956465769,169,True,544.65,0.600869,4.526230,1.805793,0.199784,0.525349,
31,True,0.09652750911606747,0.09678468448778371,4.312702551049103,200,True,496.05,0.516639,2.883126,1.640217,0.179092,0.257388,
32,True,0.16043313962268446,0.16108716119904123,4.170965242021042,200,True,550.85,0.689461,2.305039,2.073094,0.165850,0.450671,
33,True,0.08708406347517693,0.08708516119533197,4.447222427701439,200,True,350.03,0.463145,3.990213,1.035752,0.136731,0.346283,
34,True,0.10546590315540581,0.10553019984776756,4.248965137694697,188,True,534.82,0.453545,2.269097,1.262321,0.202256,0.447012,
35,True,0.12114537460298683,0.12087821672733565,4.249758079901763,200,True,351.66,0.569775,2.213894,1.600229,0.210433,0.455508,
36,True,0.14794901557158333,0.14726888854769052,4.251042512034888,200,True,549.82,0.675546,3.206393,2.304434,0.184736,0.371368,
37,True,0.14422488824131066,0.1442248866997603,4.143695072362025,34,True,77.67,0.641692,3.297581,1.147166,0.187013,0.548425,
38,True,0.12025742256256966,0.12015281198285262,4.281926281375335,171,True,466.67,0.535316,3.065542,1.746317,0.086676,0.357080,
39,True,0.15195561123725052,0.15195561039430902,4.132613223837393,34,True,81.74,0.664104,2.804037,1.183763,0.085214,0.536138,
40,True,0.1440859299074714,0.1458258170743722,4.209141546403771,200,True,515.25,0.656113,2.901690,2.244978,0.245424,0.297916,
41,True,0.10419758351389916,0.10414643825121282,4.277714075478959,111,True,212.90,0.478852,3.012091,1.159670,0.141513,0.390962,
42,True,0.12512017021434388,0.12499139057177182,4.321504335650905,188,True,509.62,0.556529,4.125133,1.834007,0.074784,0.377708,
43,True,0.12615767443896456,0.12623076194406285,4.297337499112952,200,True,315.32,0.616305,4.392137,1.566287,0.110290,0.271615,
44,True,0.11296582039309254,0.11330376140671468,4.406614949569785,200,True,531.63,0.523495,3.530685,1.940114,0.174178,0.494281,
45,True,0.11409937413248161,0.11409937413258171,4.373300189302212,61,True,120.51,0.490376,4.458508,2.483344,0.223464,0.315365,
46,True,0.13081376843288398,0.13081733083796288,4.320665416673775,200,True,527.82,0.589298,3.594853,1.841013,0.103616,0.250402,
47,True,0.1596536992943661,0.1596536993272601,4.1708120953799215,70,True,133.44,0.680978,2.631957,2.416457,0.161929,0.531345,
48,True,0.14325269358166126,0.1431303831329906,4.23115987019229,200,True,528.39,0.620853,2.132191,2.013021,0.119877,0.330364,
49,True,0.1148803434791565,0.11488034347924642,4.198896767695175,48,True,100.71,0.480661,3.943814,1.077623,0.240503,0.277445,
